type,price,direction,formation_time,breakout_time,retest_time,touch_time_utc,entry_price,is_spike,is_swing,hours_breakout_to_retest,level_age_hours,breakout_range_ratio,breakout_body_ratio,prior_touches_2yr,prior_touches_all,confluence_count,vol_spike_z_10s,same_side_vol_ratio_10s,momentum_pts_10s,trades_count_10s,upticks_10s,downticks_10s,cum_delta_10s,range_compression_10s,vol_spike_z_30s,same_side_vol_ratio_30s,momentum_pts_30s,trades_count_30s,upticks_30s,downticks_30s,cum_delta_30s,range_compression_30s,vol_spike_z_60s,same_side_vol_ratio_60s,momentum_pts_60s,trades_count_60s,upticks_60s,downticks_60s,cum_delta_60s,range_compression_60s,vol_spike_z_120s,same_side_vol_ratio_120s,momentum_pts_120s,trades_count_120s,upticks_120s,downticks_120s,cum_delta_120s,range_compression_120s,vol_spike_z_300s,same_side_vol_ratio_300s,momentum_pts_300s,trades_count_300s,upticks_300s,downticks_300s,cum_delta_300s,range_compression_300s,preconsolidation_secs_30s,mfe_5m,mae_before_peak_5m,time_to_peak_s_5m,mfe_15m,mae_before_peak_15m,time_to_peak_s_15m,mfe_30m,mae_before_peak_30m,time_to_peak_s_30m,mfe_60m,mae_before_peak_60m,time_to_peak_s_60m,quality_30m
LLPB,7476.5,-1,2026-05-21 15:00:00,2026-06-05 19:00:00,2026-06-08 00:00:00,2026-06-08 00:27:16,7476.5,False,True,53.0,417.0,1.9073869900771772,0.3699421965317919,61,61,0,0.25333553751219595,1.0,-0.75,3.0,2,0,-4.0,1.875,-0.16804983244902874,1.0,-0.75,3.0,2,0,-4.0,0.625,-0.1929629333000278,1.0,-1.5,8.0,5,0,-9.0,0.9375,-0.2796147976728324,0.8888888888888888,-4.5,17.0,10,2,-14.0,1.09375,-0.974025974025974,0.8518518518518519,-5.0,26.0,16,3,-19.0,0.7083333333333333,30,0.75,1.0,87,2.75,8.0,834,7.5,8.0,1744,18.5,8.0,3523,-0.5
LLPB,7477.25,-1,2026-06-05 18:00:00,2026-06-05 19:00:00,2026-06-08 00:00:00,2026-06-08 00:27:15,7477.25,False,False,53.0,54.0,1.9073869900771772,0.3699421965317919,64,64,0,0.12301864329338677,1.0,-1.25,2.0,1,0,-3.0,1.2765957446808511,-0.22584206159429707,1.0,-1.25,2.0,1,0,-3.0,0.42553191489361697,-0.17743680794667083,1.0,-2.0,8.0,5,0,-9.0,1.0638297872340425,-0.29171336835688705,0.8823529411764706,-5.0,16.0,9,2,-13.0,1.0638297872340425,-0.925,0.8461538461538461,-5.5,25.0,15,3,-18.0,0.7021276595744681,30,1.5,0.25,88,3.5,7.25,835,8.25,7.25,1745,19.25,7.25,3524,1.0
LLPB,7517.0,-1,2026-06-05 16:00:00,2026-06-05 18:00:00,2026-06-08 11:00:00,2026-06-08 11:31:04,7517.0,False,True,65.0,67.0,2.9852507374631267,0.8735177865612648,33,33,0,-0.2277595108853357,0.0,-0.5,3.0,0,2,3.0,0.8780487804878049,0.19719589700469756,0.6,-1.25,15.0,5,3,-3.0,1.951219512195122,0.10631882495382895,0.5555555555555556,-1.75,27.0,8,9,-3.0,1.6585365853658536,0.9294230654298878,0.76,-5.0,73.0,12,10,-39.0,1.1219512195121952,-0.8709677419354839,0.7982456140350878,-6.75,112.0,36,13,-68.0,0.7804878048780488,28,1.75,1.25,265,4.5,2.5,891,10.5,2.5,1477,10.5,2.5,1477,8.0
LLPB,7515.25,-1,2026-05-21 19:00:00,2026-06-05 18:00:00,2026-06-08 11:00:00,2026-06-08 11:21:59,7515.25,False,False,65.0,424.0,2.9852507374631267,0.8735177865612648,38,38,0,0.5105073560858459,0.8,-2.0,10.0,2,1,-6.0,1.0434782608695652,0.38819220583091596,0.7692307692307693,-3.5,26.0,6,3,-14.0,0.7826086956521738,0.048644669116072826,0.7441860465116279,-5.0,43.0,12,6,-21.0,0.717391304347826,-0.3809902241051909,0.6986301369863014,-4.5,73.0,22,13,-29.0,0.6739130434782609,-1.0227272727272727,0.696969696969697,-9.5,165.0,67,32,-65.0,0.7565217391304346,2,7.25,0.5,179,7.25,0.5,179,8.0,4.25,1577,8.75,4.25,2022,3.75
LLPB,7506.0,-1,2026-05-21 18:00:00,2026-06-05 18:00:00,2026-06-08 11:00:00,2026-06-08 11:14:43,7506.0,False,False,65.0,425.0,2.9852507374631267,0.8735177865612648,50,50,0,-0.08507607194122165,0.8333333333333334,-1.25,6.0,4,0,-4.0,1.643835616438356,-0.13508485076247878,0.631578947368421,-3.75,19.0,8,3,-5.0,1.5753424657534247,-0.29265021013921066,0.68,-3.75,25.0,11,4,-9.0,1.0273972602739725,-0.33251240287350003,0.625,-3.25,64.0,19,10,-16.0,1.13013698630137,1.0118343195266273,0.4295774647887324,-15.75,282.0,54,31,80.0,1.6986301369863013,16,2.0,8.25,143,2.0,8.25,143,2.0,8.25,143,2.0,8.25,143,-6.25
LLPB,7546.0,-1,2026-05-22 12:00:00,2026-06-05 16:00:00,2026-06-09 13:00:00,2026-06-09 13:47:18,7546.0,False,False,93.0,433.0,2.2912353347135954,0.4879518072289157,27,27,0,0.8501889963174736,0.95,-0.5,17.0,6,1,-18.0,1.7647058823529411,0.1681072664495754,0.7352941176470589,-3.0,31.0,8,4,-16.0,1.1764705882352942,-0.09522333331366903,0.7413793103448276,-3.75,51.0,16,8,-28.0,1.1176470588235294,0.927436290051409,0.7655172413793103,-7.75,118.0,31,21,-77.0,1.1764705882352942,1.0,0.6502732240437158,-15.25,297.0,62,48,-110.0,1.076470588235294,11,4.0,7.75,262,24.0,7.75,801,60.5,7.75,1796,94.5,7.75,3586,52.75
LLPB,7546.75,-1,2026-05-22 14:00:00,2026-06-05 16:00:00,2026-06-09 13:00:00,2026-06-09 13:47:29,7546.75,False,True,93.0,431.0,2.2912353347135954,0.4879518072289157,29,29,0,1.8313349550875586,0.2903225806451613,-1.25,15.0,1,3,13.0,1.5882352941176472,1.1104073026393586,0.5357142857142857,-3.5,37.0,7,5,-4.0,1.2941176470588234,0.3341752501134715,0.527027027027027,-4.5,55.0,12,9,-4.0,1.147058823529412,0.1136127293783658,0.5984251968503937,-7.75,103.0,29,21,-25.0,1.147058823529412,1.0927152317880795,0.6218274111675127,-15.5,309.0,62,50,-96.0,1.1058823529411765,20,4.75,7.0,251,24.75,7.0,790,61.75,7.0,1797,95.25,7.0,3575,54.75
LLPB,7550.25,-1,2026-05-22 20:00:00,2026-06-05 16:00:00,2026-06-09 13:00:00,2026-06-09 13:48:56,7550.25,False,True,93.0,425.0,2.2912353347135954,0.4879518072289157,32,32,0,2.073678039382872,0.8666666666666667,-2.5,29.0,6,1,-22.0,2.028169014084507,1.8585364625199021,0.7794117647058824,-3.5,53.0,9,7,-38.0,1.6901408450704225,1.1678588990862084,0.6736842105263158,-2.0,80.0,13,17,-33.0,1.4929577464788732,1.9857016812026032,0.6614583333333334,-8.0,147.0,29,24,-62.0,1.267605633802817,1.2926829268292683,0.6541554959785523,-14.25,298.0,63,54,-115.0,1.1098591549295773,10,8.25,3.5,164,28.25,3.5,703,72.5,3.5,1774,114.75,3.5,3596,69.0
LHPB,7493.25,1,2026-06-09 02:00:00,2026-06-09 03:00:00,2026-06-09 14:00:00,2026-06-09 14:16:17,7493.25,False,False,11.0,12.0,0.4759493670886076,0.5957446808510638,60,60,0,0.7118998060662189,0.7777777777777778,-3.5,26.0,3,5,-15.0,1.758957654723127,0.43965325383600357,0.5901639344262295,-4.75,60.0,8,11,-11.0,1.4006514657980456,1.7664916138404272,0.5697674418604651,-6.75,152.0,15,19,-24.0,1.4332247557003255,0.6880209161537815,0.5413223140495868,-7.5,221.0,28,33,-20.0,1.2296416938110748,0.984375,0.5613747954173486,-19.75,562.0,66,83,-75.0,1.2149837133550487,2,4.0,0.25,19,12.25,16.0,575,12.25,16.0,575,12.25,16.0,575,-3.75
LHPB,7479.75,1,2026-06-09 00:00:00,2026-06-09 01:00:00,2026-06-09 14:00:00,2026-06-09 14:18:19,7479.75,False,False,13.0,14.0,1.3501699854298204,0.697841726618705,78,78,0,0.9082981423488455,0.6875,-4.5,30.0,2,2,-12.0,1.92,-0.161356902285794,0.5961538461538461,-6.75,50.0,6,4,-10.0,1.2,-0.31101814641403286,0.5048543689320388,-7.0,101.0,18,12,-1.0,1.1733333333333333,0.20377503578327702,0.5240174672489083,-15.25,214.0,38,29,-11.0,1.2533333333333334,3.375,0.5614334470989761,-26.5,544.0,77,84,-72.0,1.1013333333333333,0,17.75,2.5,285,25.75,2.5,453,25.75,2.5,453,25.75,2.5,453,23.25
LHPB,7388.0,1,2026-05-05 22:00:00,2026-05-06 08:00:00,2026-06-09 15:00:00,2026-06-09 15:31:34,7388.0,False,True,823.0,833.0,2.9695181907571286,0.6423841059602649,0,0,0,1.5617625012090326,0.8596491228070176,-4.25,47.0,3,2,-41.0,0.8762490392006148,0.4288450139351179,0.75,-7.0,94.0,7,11,-52.0,1.1990776325903152,0.730109135466588,0.5321100917431193,-8.5,208.0,22,19,-14.0,1.4219830899308223,1.8598862092596236,0.46062992125984253,-5.0,490.0,53,37,40.0,1.560338201383551,1.3,0.5220588235294118,-24.0,1025.0,111,90,-48.0,1.212913143735588,1,11.0,1.25,265,19.0,1.25,684,22.0,1.25,1233,22.0,1.25,1233,20.75
LHPB,7387.25,1,2026-05-05 23:00:00,2026-05-06 08:00:00,2026-06-09 15:00:00,2026-06-09 15:31:35,7387.25,False,False,823.0,832.0,2.9695181907571286,0.6423841059602649,1,1,0,1.705040523893665,0.8225806451612904,-5.0,52.0,3,2,-40.0,0.9640397857689366,0.4028424875171714,0.7428571428571429,-7.25,95.0,7,11,-51.0,1.193573068094874,0.6500298624256452,0.5388127853881278,-9.5,209.0,22,19,-17.0,1.4001530221882172,1.5722962329325598,0.461839530332681,-4.5,493.0,53,37,39.0,1.5493496557000765,1.016260162601626,0.5197066911090742,-24.0,1028.0,112,89,-43.0,1.210405508798776,2,11.75,0.5,264,19.75,0.5,683,22.75,0.5,1232,22.75,0.5,1232,22.25
LHPB,7384.0,1,2026-05-06 00:00:00,2026-05-06 08:00:00,2026-06-09 15:00:00,2026-06-09 15:56:42,7384.0,False,False,823.0,831.0,2.9695181907571286,0.6423841059602649,2,2,0,-0.3634839352749938,0.5,-1.5,14.0,2,3,0.0,0.7639569049951028,-0.42484943692692756,0.6222222222222222,-7.0,45.0,6,12,-11.0,1.0381978452497551,-0.08870767231959896,0.5431034482758621,-4.75,114.0,11,21,-10.0,1.1361410381978452,-0.7709471335505531,0.5657894736842105,-10.5,148.0,19,33,-20.0,0.7884427032321253,1.0072463768115942,0.4826666666666667,-16.75,651.0,67,101,26.0,1.0832517140058766,4,1.75,0.0,6,3.75,12.25,334,3.75,12.25,334,3.75,12.25,334,-8.5
LHPB,7382.75,1,2026-05-06 06:00:00,2026-05-06 08:00:00,2026-06-09 15:00:00,2026-06-09 15:57:00,7382.75,False,True,823.0,825.0,2.9695181907571286,0.6423841059602649,3,3,0,1.0347374296181198,0.7435897435897436,-2.5,28.0,4,4,-19.0,1.1198428290766207,0.09950703418299484,0.7076923076923077,-6.0,54.0,8,11,-27.0,0.9037328094302554,0.21487487114097356,0.5507246376811594,-5.25,125.0,15,23,-14.0,1.267190569744597,-0.4626260140218769,0.6086956521739131,-12.5,169.0,22,35,-40.0,0.849705304518664,1.1395348837209303,0.5102339181286549,-23.75,585.0,65,98,-14.0,0.9862475442043221,11,0.5,11.0,277,5.0,11.0,316,5.0,11.0,316,5.0,11.0,316,-6.0
LHPB,7327.25,1,2026-05-05 11:00:00,2026-05-05 12:00:00,2026-06-09 16:00:00,2026-06-09 16:38:14,7327.25,True,False,844.0,845.0,1.1171960569550932,0.2745098039215686,24,24,0,7.122227673698497,0.7906976744186046,-30.75,154.0,2,7,-100.0,9.530864197530866,3.517597059818374,0.7731958762886598,-29.25,176.0,7,12,-106.0,3.555555555555556,2.01952851489301,0.7166666666666667,-34.75,222.0,15,22,-104.0,2.2551440329218106,1.279614147207922,0.5859154929577465,-34.0,336.0,41,34,-61.0,1.6049382716049383,1.103448275862069,0.5509065550906556,-36.5,688.0,100,79,-73.0,1.2181069958847737,2,10.0,6.25,20,12.0,20.0,440,43.25,20.0,1620,80.25,20.0,3599,23.25
LHPB,7345.25,1,2026-05-05 13:00:00,2026-05-05 14:00:00,2026-06-09 16:00:00,2026-06-09 16:19:10,7345.25,False,False,842.0,843.0,1.8331374853113984,0.2948717948717949,8,8,0,2.083929122800768,0.7254901960784313,-4.5,45.0,1,7,-23.0,1.6966580976863752,0.9251175988036556,0.7701149425287356,-7.5,71.0,4,12,-47.0,0.9254498714652957,0.5981392719800469,0.5625,-7.5,127.0,17,16,-18.0,1.0368466152527849,1.5131505286473996,0.5705882352941176,-8.25,310.0,38,36,-48.0,1.1996572407883461,1.2325581395348837,0.5667166416791605,-21.0,612.0,97,80,-89.0,1.0454155955441302,3,6.5,10.25,191,22.75,10.25,816,22.75,10.25,816,36.0,38.0,3597,12.5
LHPB,7395.25,1,2026-06-09 16:00:00,2026-06-09 17:00:00,2026-06-10 09:00:00,2026-06-10 09:00:09,7395.25,False,False,16.0,17.0,2.3735408560311284,0.7901639344262295,5,5,0,-0.6339234490938942,0.0,-0.25,1.0,1,0,1.0,0.5128205128205129,-0.12589937107825705,0.4166666666666667,-0.5,11.0,3,2,2.0,0.94017094017094,-0.5217062577301892,0.3888888888888889,0.75,17.0,6,4,4.0,0.8119658119658119,1.2113957548203427,0.7123287671232876,-1.0,68.0,13,11,-31.0,1.0683760683760684,1.0333333333333334,0.6987951807228916,-4.25,152.0,31,33,-66.0,1.0769230769230769,30,2.5,2.75,177,5.5,2.75,623,5.5,2.75,623,8.25,15.75,2314,2.75
LLPB,7421.75,-1,2026-06-10 05:00:00,2026-06-10 08:00:00,2026-06-10 12:00:00,2026-06-10 12:30:12,7421.75,False,True,4.0,7.0,0.9687392648574372,0.8865248226950354,15,15,0,6.584189814208294,0.7526881720430108,-25.25,60.0,5,1,-47.0,15.182186234817813,3.6845203180971637,0.7837837837837838,-27.5,78.0,11,2,-63.0,6.842105263157895,2.287353238225244,0.7520661157024794,-26.5,88.0,12,4,-61.0,3.7651821862348176,1.1046316332664798,0.75177304964539,-28.5,106.0,21,7,-71.0,2.1963562753036436,5.666666666666667,0.6617647058823529,-35.5,217.0,56,29,-88.0,1.3765182186234817,1,26.0,4.75,89,26.0,4.75,89,26.0,4.75,89,26.0,4.75,89,21.25
LLPB,7415.25,-1,2026-06-09 19:00:00,2026-06-10 08:00:00,2026-06-10 12:00:00,2026-06-10 12:30:06,7415.25,False,False,4.0,17.0,0.9687392648574372,0.8865248226950354,12,12,0,9.577747280738036,0.8205128205128205,-21.0,45.0,4,0,-50.0,13.488372093023255,4.352397568059355,0.8214285714285714,-22.25,51.0,7,1,-54.0,5.736434108527132,2.350872376766819,0.7789473684210526,-21.5,62.0,9,3,-53.0,3.3850129198966403,0.7539154494443503,0.7719298245614035,-23.25,79.0,17,6,-62.0,2.054263565891473,0.7142857142857143,0.656,-31.25,194.0,53,30,-78.0,1.483204134366925,0,19.5,11.25,95,19.5,11.25,95,19.5,11.25,95,19.5,11.25,95,8.25
LHPB,7312.25,1,2026-05-05 05:00:00,2026-05-05 06:00:00,2026-06-10 22:00:00,2026-06-10 22:02:19,7312.25,False,False,880.0,881.0,0.7457121551081283,0.3,9,9,0,13.705607723976046,0.2,-1.75,27.0,1,1,21.0,7.800000000000001,6.102258706204547,0.2,-1.75,27.0,1,1,21.0,2.6,4.378320440205482,0.2682926829268293,-5.0,33.0,1,2,19.0,1.8,4.3300245987579515,0.421875,-6.5,55.0,6,9,10.0,3.9000000000000004,2.4166666666666665,0.4878048780487805,-14.0,71.0,9,14,2.0,2.24,3,2.0,-0.75,14,4.25,5.75,797,10.0,5.75,1728,14.25,5.75,2313,4.25
LLPB,7353.25,-1,2026-06-09 17:00:00,2026-06-10 19:00:00,2026-06-11 01:00:00,2026-06-11 01:10:10,7353.25,False,False,6.0,32.0,0.8845208845208845,0.7037037037037037,11,11,0,0.20778245300897447,0.14285714285714285,-0.75,6.0,1,2,5.0,1.1570247933884297,-0.2197359175599645,0.3076923076923077,-0.5,12.0,3,3,5.0,0.8815426997245179,-0.12894177831870426,0.4482758620689655,-2.0,28.0,8,5,3.0,0.9366391184573003,-0.622076180364867,0.5,-5.75,33.0,10,6,-0.0,0.5647382920110193,-0.9540229885057471,0.47540983606557374,-5.5,121.0,27,30,6.0,0.9586776859504131,22,0.75,-0.25,7,0.75,-0.25,7,0.75,-0.25,7,7.25,13.25,2791,1.0
LLPB,7358.5,-1,2026-06-10 18:00:00,2026-06-10 19:00:00,2026-06-11 01:00:00,2026-06-11 01:11:34,7358.5,False,False,6.0,7.0,0.8845208845208845,0.7037037037037037,9,9,0,0.8114427516974465,0.6153846153846154,-1.75,13.0,2,2,-3.0,2.211302211302211,0.5979594367432213,0.5555555555555556,-3.25,26.0,5,4,-3.0,1.425061425061425,0.0864665425866739,0.48717948717948717,-5.75,37.0,7,8,1.0,1.1056511056511056,0.014998875126546539,0.52,-6.5,70.0,15,14,-3.0,1.0319410319410318,-0.958904109589041,0.5,-8.0,111.0,25,26,-0.0,0.7174447174447175,11,1.25,0.5,2,1.25,0.5,2,2.0,8.0,1527,12.5,8.0,2707,-6.0
LHPB,7385.5,1,2026-06-11 04:00:00,2026-06-11 07:00:00,2026-06-11 11:00:00,2026-06-11 11:06:50,7385.5,False,True,4.0,7.0,0.5673758865248227,0.618421052631579,11,11,1,0.8227856693079216,0.5,0.5,5.0,1,1,0.0,1.5,-0.3895438748497466,0.5,0.5,5.0,1,1,0.0,0.5,0.1649728075048345,0.6153846153846154,0.5,19.0,4,5,-6.0,1.0625,-0.38044593304848984,0.6666666666666666,-2.0,31.0,6,13,-13.0,0.9687500000000001,-0.5833333333333334,0.5045045045045045,-1.75,100.0,21,20,-1.0,0.9,30,1.25,0.75,41,1.25,0.75,41,8.0,6.75,1541,9.5,6.75,3150,1.25
LHPB,7384.0,1,2026-06-11 06:00:00,2026-06-11 07:00:00,2026-06-11 12:00:00,2026-06-11 12:21:42,7384.0,False,False,5.0,6.0,0.5673758865248227,0.618421052631579,13,13,0,0.4800308838001794,0.5714285714285714,-0.75,7.0,1,1,-1.0,1.4457831325301205,1.49402279817781,0.5517241379310345,-2.25,28.0,3,4,-3.0,1.5261044176706828,1.056896729380951,0.4782608695652174,-3.25,45.0,10,6,2.0,1.3253012048192774,0.9219789005479839,0.43023255813953487,-3.25,85.0,18,11,12.0,1.1646586345381527,1.0303030303030303,0.41232227488151657,-6.0,210.0,47,32,37.0,1.3012048192771086,26,2.25,0.5,22,2.25,0.5,22,2.25,0.5,22,2.25,0.5,22,1.75
LHPB,7334.75,1,2026-06-10 22:00:00,2026-06-11 00:00:00,2026-06-11 15:00:00,2026-06-11 15:00:01,7334.75,False,False,15.0,17.0,1.128787878787879,0.7248322147651006,23,23,0,0.4719538842915463,0.7634408602150538,-3.0,89.0,3,6,-49.0,1.4018691588785046,-0.3995997121985554,0.6411764705882353,-2.75,156.0,9,14,-48.0,0.9479305740987984,0.6007973893936672,0.6641074856046065,0.0,384.0,16,33,-171.0,0.9345794392523366,1.6973063254443386,0.6229249011857707,-9.5,1024.0,38,61,-311.0,1.164886515353805,1.061124694376528,0.6216744913928013,-20.25,2194.0,89,146,-622.0,1.0480640854472631,25,8.5,11.25,232,24.25,11.25,834,33.0,11.25,1251,40.25,11.25,2452,21.75
LHPB,7331.25,1,2026-06-10 23:00:00,2026-06-11 00:00:00,2026-06-11 15:00:00,2026-06-11 15:00:06,7331.25,False,False,15.0,16.0,1.128787878787879,0.7248322147651006,26,26,0,0.7862865563397918,0.6636363636363637,-4.75,105.0,4,5,-36.0,1.5486432825943082,0.06686948973156244,0.6322869955156951,-5.75,208.0,10,15,-59.0,1.0853739245532759,-0.11448894749911946,0.6299019607843137,-2.75,342.0,18,31,-106.0,0.9000661813368629,1.587723350385289,0.6250986582478295,-13.0,1026.0,39,60,-317.0,1.1317008603573793,1.0297142857142858,0.6207692307692307,-21.25,2238.0,91,145,-628.0,1.0509596293845134,3,12.0,7.75,227,27.75,7.75,829,36.5,7.75,1246,43.75,7.75,2447,28.75
LHPB,7454.5,1,2026-06-11 17:00:00,2026-06-11 19:00:00,2026-06-12 06:00:00,2026-06-12 06:01:04,7454.5,False,True,11.0,13.0,1.379310344827586,0.351063829787234,61,61,1,-0.19594245366107618,0.6363636363636364,-1.5,11.0,2,3,-3.0,1.1009174311926606,-0.510740839189852,0.5555555555555556,-1.25,27.0,5,7,-3.0,1.0091743119266054,-0.48548865747559916,0.5423728813559322,-0.75,57.0,12,17,-5.0,1.0550458715596331,0.13721084669663178,0.5029585798816568,-1.25,165.0,32,26,-1.0,1.0779816513761467,-0.9726027397260274,0.49079754601226994,-2.0,311.0,61,46,6.0,0.8440366972477064,11,9.5,1.25,296,11.5,1.25,751,11.5,1.25,751,11.5,1.25,751,10.25
LHPB,7451.25,1,2026-06-11 18:00:00,2026-06-11 19:00:00,2026-06-12 07:00:00,2026-06-12 07:00:00,7451.25,True,False,12.0,13.0,1.379310344827586,0.351063829787234,55,55,0,8.796321606459118,0.49504950495049505,0.5,68.0,2,4,1.0,4.056939501779359,4.6909597220049335,0.5294117647058824,0.5,103.0,6,11,-8.0,2.8469750889679712,3.104925421270651,0.5337837837837838,0.25,115.0,8,15,-10.0,1.7793594306049823,1.0689661931149688,0.5393939393939394,1.0,132.0,11,20,-13.0,1.085409252669039,0.3157894736842105,0.4360655737704918,3.25,262.0,44,39,39.0,1.01067615658363,13,0.5,1.5,4,0.5,1.5,4,0.5,1.5,4,20.0,14.25,3414,-1.0
LLPB,7502.5,-1,2026-06-09 10:00:00,2026-06-09 14:00:00,2026-06-12 09:00:00,2026-06-12 09:32:44,7502.5,False,True,67.0,71.0,4.650388457269701,0.6324582338902148,64,64,0,3.0300573208796777,0.6619718309859155,-3.0,70.0,5,1,-23.0,2.4827586206896552,1.93288794545053,0.6140350877192983,-6.25,113.0,9,5,-26.0,1.839080459770115,1.8042413430538902,0.5363128491620112,-5.0,178.0,12,13,-13.0,1.4252873563218393,2.122038914839252,0.6010928961748634,-4.75,362.0,21,27,-74.0,1.3218390804597702,1.29607250755287,0.5754985754985755,-7.5,684.0,58,62,-106.0,1.1770114942528738,13,-0.25,2.5,20,-0.25,2.5,20,1.5,11.0,1602,20.0,11.0,3362,-9.5
LLPB,7509.5,-1,2026-06-09 12:00:00,2026-06-09 14:00:00,2026-06-12 09:00:00,2026-06-12 09:34:56,7509.5,False,True,67.0,69.0,4.650388457269701,0.6324582338902148,59,59,0,-0.37802392464651374,0.42857142857142855,-0.5,14.0,1,3,2.0,1.0131332082551596,0.8482691457317456,0.4380165289256198,-1.0,109.0,4,13,15.0,1.5384615384615385,1.1172841022532767,0.4251012145748988,-3.75,200.0,17,21,37.0,1.4634146341463417,1.596325703659928,0.41403508771929826,-5.0,441.0,34,45,98.0,1.5853658536585367,1.0169252468265162,0.494967978042086,-10.5,957.0,69,87,11.0,1.320825515947467,30,2.0,4.0,258,5.25,4.0,839,8.5,4.0,1470,27.0,4.0,3230,4.5
LHPB,7480.75,1,2026-06-12 05:00:00,2026-06-12 08:00:00,2026-06-12 12:00:00,2026-06-12 12:39:01,7480.75,False,True,4.0,7.0,0.85451197053407,0.4827586206896552,87,87,0,1.4253871719884963,0.6444444444444445,-2.75,44.0,3,5,-13.0,2.027027027027027,2.2050663167308047,0.5317460317460317,-2.5,110.0,7,10,-8.0,1.3513513513513513,1.9932422163288226,0.5317073170731708,-3.75,186.0,15,20,-13.0,1.2162162162162162,1.4069955421475262,0.525679758308157,-4.0,308.0,30,33,-17.0,1.1233108108108107,1.0729166666666667,0.5071895424836601,-5.0,738.0,78,73,-11.0,1.0945945945945947,2,2.25,3.5,296,3.0,3.5,302,3.0,3.5,302,8.0,21.5,3059,-0.5
LHPB,7476.5,1,2026-06-12 07:00:00,2026-06-12 08:00:00,2026-06-12 12:00:00,2026-06-12 12:44:34,7476.5,False,False,4.0,5.0,0.85451197053407,0.4827586206896552,90,90,0,1.4259198723665523,0.5700934579439252,-1.25,106.0,2,6,-15.0,2.932330827067669,3.5108686948019456,0.5560538116591929,-6.5,403.0,8,16,-50.0,2.4561403508771926,2.076514765189789,0.5395948434622467,-4.25,500.0,16,22,-43.0,1.5914786967418546,1.7674509614818568,0.4637385086823289,-4.25,821.0,40,41,71.0,1.4223057644110275,1.0580474934036939,0.45924574209245744,-2.5,1433.0,101,90,134.0,1.1578947368421053,6,2.0,3.0,105,4.0,4.0,386,4.0,4.0,386,12.25,17.25,2726,0.0
LLPB,7573.75,-1,2026-06-05 14:00:00,2026-06-05 15:00:00,2026-06-15 00:00:00,2026-06-15 00:14:03,7573.75,False,False,225.0,226.0,2.395209580838324,0.81875,13,13,0,1.7482992071522574,0.78,-1.5,130.0,5,3,-84.0,1.5247776365946633,0.6221530397959981,0.7696078431372549,-1.75,184.0,18,6,-110.0,1.0927573062261753,0.292416816247809,0.6645569620253164,-2.75,291.0,27,15,-104.0,0.9656925031766199,0.18941236770033007,0.6188034188034188,-5.0,550.0,51,30,-139.0,1.0101651842439643,1.5103734439834025,0.5973193473193473,-9.75,1551.0,117,87,-334.0,1.0648030495552732,30,4.75,1.0,106,5.75,1.0,532,6.25,1.0,1727,6.25,1.0,1727,5.25
LLPB,7622.5,-1,2026-06-05 08:00:00,2026-06-05 12:00:00,2026-06-15 13:00:00,2026-06-15 13:52:26,7622.5,False,False,241.0,245.0,1.8393030009680544,0.5684210526315789,25,25,1,-0.3937950752471094,0.5995525727069351,-0.5,305.0,7,3,-89.0,0.9486166007905139,-0.4562584655162957,0.5443403028118241,-0.5,1031.0,16,12,-123.0,0.8827404479578393,-1.1900579714803274,0.5371635194857373,-0.5,1922.0,31,22,-185.0,0.8827404479578393,-1.9176157983787423,0.5481246279023616,-3.5,4017.0,68,45,-485.0,0.9057971014492754,-0.9960185799601858,0.5505678381829178,-7.0,11673.0,170,114,-1505.0,0.932806324110672,30,6.75,0.0,271,11.0,0.0,459,17.0,0.0,1315,17.0,0.0,1315,17.0
LLPB,7609.75,-1,2026-06-04 13:00:00,2026-06-05 13:00:00,2026-06-15 13:00:00,2026-06-15 13:32:47,7609.75,False,False,240.0,264.0,3.006189213085765,0.9058823529411764,56,56,0,0.02670601031206457,0.6141078838174274,-1.0,397.0,3,6,-110.0,1.245847176079734,0.13041262545342974,0.5411836485661989,-2.0,1358.0,11,18,-135.0,1.3289036544850497,0.2779989826985404,0.5193110647181628,-4.75,3284.0,25,34,-148.0,1.3870431893687707,0.8461130658813965,0.5070705044629426,-5.25,8371.0,48,69,-141.0,1.6486710963455147,1.0140495867768595,0.543024798038664,-10.75,20028.0,144,133,-2141.0,1.4883720930232558,28,2.5,2.25,126,3.25,6.25,659,3.25,6.25,659,4.25,12.75,2494,-3.0
LLPB,7612.5,-1,2026-06-05 12:00:00,2026-06-05 13:00:00,2026-06-15 13:00:00,2026-06-15 13:35:46,7612.5,False,False,240.0,241.0,3.006189213085765,0.9058823529411764,49,49,0,0.27352260156374125,0.559074299634592,-1.0,712.0,8,2,-97.0,0.9765625,0.2212113742182526,0.522887323943662,-1.75,1679.0,24,6,-104.0,1.09375,0.2381951174883255,0.5372873964238988,-3.75,3697.0,44,15,-342.0,1.171875,0.07268139580962489,0.527327553712778,-2.5,6457.0,74,45,-435.0,1.1295572916666665,0.988672330501416,0.5126054293220261,-7.0,17794.0,152,144,-547.0,1.1809895833333333,26,5.5,3.5,296,6.0,3.5,480,6.0,3.5,480,7.0,10.0,2315,2.5
